@relation 's_0: -C -2'

@attribute NOII_type numeric
@attribute NOAM_type numeric
@attribute NOCS_type numeric
@attribute NOM_type numeric
@attribute NMO_type numeric
@attribute ATFD_type numeric
@attribute FANOUT_type numeric
@attribute NOMNAMM_type numeric
@attribute NOA_type numeric
@attribute NIM_type numeric
@attribute DIT_type numeric
@attribute LOC_type numeric
@attribute LOCNAMM_type numeric
@attribute CFNAMM_type numeric
@attribute TCC_type numeric
@attribute CBO_type numeric
@attribute RFC_type numeric
@attribute NOC_type numeric
@attribute WMC_type numeric
@attribute LCOM5_type numeric
@attribute WOC_type numeric
@attribute WMCNAMM_type numeric
@attribute AMW_type numeric
@attribute AMWNAMM_type numeric
@attribute isStatic_type numeric
@attribute NOPA_type numeric
@attribute number_private_visibility_attributes numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_package_visibility_attributes numeric
@attribute num_final_attributes numeric
@attribute num_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_public_visibility_methods numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_methods numeric
@attribute number_package_visibility_methods numeric
@attribute number_final_methods numeric
@attribute number_abstract_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute is_GC {0,1}
@attribute is_DC {0,1}

@data
0,0,3,7,0,0,5,7,1,0,6,239,239,7,0,2,14,5,27,1,0,27,3.857143,3.857143,0,0,0,1,0,0,0,0,1,0,0,6,1,0,0,0,2,5,2,0,0,2,5,5,0,2,0,0
0,4,1,10,0,1,4,6,5,541,7,149,91,7,0.190476,8,27,0,14,0.955556,0.5,6,1.4,1,0,0,5,0,0,0,0,0,5,0,0,8,2,0,0,0,0,10,0,0,0,0,10,5,0,1,0,0
0,1,1,40,0,14,17,39,16,0,1,1243,1234,46,0.239683,20,94,0,133,0.959936,0.921053,132,3.325,3.384615,0,2,14,0,0,6,16,6,0,0,10,36,4,0,0,9,0,31,38,9,0,29,2,38,0,1,1,0
1,8,0,11,0,0,0,3,4,0,1,83,43,0,0.142857,0,11,0,11,0.9,0.272727,3,1,1,0,0,4,0,0,0,0,0,4,0,0,11,0,0,0,0,0,11,0,0,0,0,11,0,0,3,0,1
0,0,0,1,0,0,1,1,0,6,2,8,8,1,1,5,10,0,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0
0,2,0,5,2,0,2,3,4,18,3,95,75,4,0.6,7,27,0,9,0.75,0.6,7,1.8,2.333333,0,0,4,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0
0,15,1,29,6,6,9,14,15,14,3,573,477,23,0.108374,12,67,0,71,0.952381,0.4,56,2.448276,4,0,0,10,5,0,1,1,1,14,0,0,25,0,4,0,0,0,29,0,0,0,0,29,14,0,0,1,0
0,6,0,8,0,7,3,2,5,0,1,100,64,9,0.380952,5,19,0,13,0.885714,0.25,7,1.625,3.5,0,0,2,3,0,0,0,0,5,0,0,8,0,0,0,0,0,8,0,0,0,0,8,1,0,1,0,1
0,0,0,1,0,0,0,1,48,0,1,252,252,0,1,0,1,0,1,0,0,1,1,1,0,48,0,0,0,48,48,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,3,11,2,8,15,11,5,50,3,323,323,29,0.222222,26,137,0,49,0.96,0.875,49,4.454545,4.454545,0,1,0,4,0,1,1,1,4,0,0,7,0,4,0,0,0,11,0,0,0,0,11,10,0,1,1,0
1,0,0,1,0,0,0,1,0,0,1,9,9,0,1,0,1,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
1,10,0,12,0,1,2,2,5,0,1,97,42,2,0.163636,2,14,0,19,0.890909,0.166667,8,1.583333,4,0,0,0,0,5,0,0,0,5,0,0,12,0,0,0,0,0,12,1,0,0,1,11,1,0,1,0,1
0,0,0,2,0,0,0,2,1,63,3,21,21,0,1,0,2,0,3,1,1,3,1.5,1.5,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0
3,7,0,15,0,0,1,8,13,0,2,263,155,1,0.032967,3,16,3,19,1,0,8,1.266667,1,0,0,0,8,5,0,5,0,8,0,5,15,0,0,0,0,2,13,0,0,0,0,15,7,0,1,0,0
0,16,0,17,0,0,0,1,8,0,1,97,1,0,0.066667,0,17,0,17,0.9375,0,1,1,1,0,0,8,0,0,0,0,0,8,0,0,0,0,0,17,0,0,17,0,0,0,0,17,0,0,1,0,1
0,0,0,13,2,3,3,13,5,3,2,218,218,3,0.755556,4,19,0,51,0.683333,1,51,3.923077,3.923077,0,0,5,0,0,0,1,0,4,0,1,11,2,0,0,0,0,13,2,0,0,2,11,12,0,1,1,0
1,0,0,1,0,0,0,1,0,0,1,8,8,0,1,0,1,0,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0
4,89,0,162,2,101,41,73,77,0,1,3129,2065,71,0.27739,57,328,0,476,0.984028,0.385714,344,2.938272,4.712329,0,0,76,1,0,3,3,3,74,0,0,140,19,3,0,3,0,159,9,3,0,6,153,70,0,3,1,0
0,40,0,41,1,1,0,1,20,0,1,380,380,0,0.029268,11,41,0,42,0.9725,0.02439,2,1.02439,2,0,0,20,0,0,0,0,0,20,0,0,42,0,0,0,0,0,42,0,0,0,0,42,1,1,0,0,1
1,6,0,6,0,0,0,0,3,0,1,61,61,0,0.333333,0,6,5,8,0.733333,0,0,1.333333,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,0,1,0,0,1
1,6,0,6,0,0,0,0,3,0,1,26,26,0,0.2,0,6,0,6,0.8,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1
0,0,5,16,0,0,14,16,1,0,1,561,561,23,0.622222,9,42,0,56,0.866667,1,56,3.5,3.5,0,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,0,16,15,0,0,15,1,15,0,1,1,0
1,7,0,10,0,0,1,3,4,0,1,90,21,2,0.133333,2,12,0,14,0.861111,0.3,3,1.4,1,0,0,4,0,0,0,0,0,4,0,0,10,0,0,1,0,0,11,0,0,0,0,11,3,1,0,0,1
1,0,2,31,0,6,23,31,9,0,1,1142,1142,47,0.405797,27,82,0,138,0.811111,1,138,4.451613,4.451613,0,0,8,0,1,7,3,3,2,4,0,24,6,0,1,0,0,31,0,0,0,0,31,30,0,1,1,0
0,6,0,7,0,1,1,1,3,17,2,33,3,1,0.2,3,25,0,7,0.833333,0,1,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,1,0,1
0,7,0,8,0,0,0,1,4,0,1,38,3,0,0.142857,1,8,0,8,0.892857,0,1,1,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,1,0,1
0,11,0,12,0,1,0,1,6,0,1,56,1,0,0.090909,2,12,0,12,0.924242,0,1,1,1,0,0,6,0,0,0,0,0,6,0,0,0,0,0,12,0,0,12,0,0,0,0,12,0,0,1,0,1
0,13,0,14,0,2,0,1,7,0,1,65,0,0,0.076923,2,14,0,14,0.934066,0,1,1,1,0,0,7,0,0,0,0,0,7,0,0,0,0,0,14,0,0,14,0,0,0,0,14,0,0,1,0,1
0,9,0,10,0,0,0,1,5,0,1,47,2,0,0.111111,1,10,0,10,0.911111,0,1,1,1,0,0,5,0,0,0,0,0,5,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,1,0,1
0,0,1,6,1,0,1,6,1,45,4,59,59,1,0,0,7,0,11,1,1,11,1.833333,1.833333,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,6,5,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,5,5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
0,2,0,17,2,51,7,15,22,0,1,695,616,18,0.722222,10,49,0,179,0.825893,0.75,165,10.529412,11,0,3,10,0,9,3,3,3,19,0,0,9,7,0,1,0,0,17,1,0,0,1,16,14,0,1,1,0
0,0,0,8,1,13,4,8,5,0,1,125,125,8,0.5,6,16,0,31,0.892857,1,31,3.875,3.875,0,0,0,0,5,3,0,0,2,3,0,5,3,0,0,0,0,8,0,0,0,0,8,6,0,2,0,0
1,2,0,65,1,65,24,63,155,0,1,2137,2127,50,0.335994,26,126,0,464,0.945437,0.26,462,7.138462,7.333333,0,146,9,0,0,15,25,15,130,0,10,54,11,0,0,0,0,65,8,0,0,8,57,62,0,1,1,0
0,0,0,16,0,127,18,16,15,0,1,590,590,26,1,19,107,0,95,1,1,95,5.9375,5.9375,0,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,1,0
0,0,0,13,0,71,14,13,31,0,1,531,531,55,1,17,81,0,51,0.997312,0.2,51,3.923077,3.923077,0,24,6,0,1,24,26,24,5,0,2,6,7,0,0,0,0,13,2,0,0,2,11,11,0,2,1,0
0,7,2,14,0,0,3,7,7,536,6,250,190,3,0.533333,1,17,0,17,0.868132,0.363636,9,1.214286,1.285714,0,0,7,0,0,0,0,0,7,0,0,11,3,0,0,0,0,14,0,0,0,0,14,6,0,1,0,0
0,5,35,68,0,36,62,63,109,531,6,1867,1826,103,0.219373,33,197,0,184,0.992743,0.348485,179,2.705882,2.84127,0,38,70,0,1,42,48,42,61,0,6,28,40,0,0,0,0,68,22,0,0,22,46,62,0,1,1,0
1,13,12,59,1,6,19,46,32,50,2,1097,957,32,0.120108,9,96,0,203,0.970905,0.652174,179,3.440678,3.891304,0,5,27,0,0,2,2,2,30,0,0,41,18,0,0,0,0,59,0,0,0,0,59,44,0,2,1,0
