NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,isStatic_method,is_SS
1,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,1,0,0,0,0,17,0,0,14,17,14,0,0,3,0,24,0,3,0,0,27,27,0,0,27,0,27,0,0,1,0
2,11,1,1,12,3,18,4,0,2,0,5,0.666667,3,4,2,2,4,0,0.75,0,8,0,0,2,2,2,8,0,0,41,4,0,0,36,0,9,3,0,36,3,6,42,0,1,0,1
1,7,0,0,20,1,4,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24,0,0,0,0,22,2,0,0,0,0,24,19,0,1,0,0
1,8,6,2,9,1,14,1,0,4,0,11,0.333333,3,1,2,1,6,0,0.5,0,8,0,0,14,14,14,4,0,0,26,1,1,0,0,0,28,7,0,0,7,21,24,0,1,1,1
0,7,1,1,7,3,15,3,0,1,0,6,0.75,3,2,3,0,3,0,1,0,1,13,0,4,5,4,9,0,1,29,1,12,0,1,3,38,2,1,0,1,40,31,1,0,0,1
2,11,0,0,11,1,4,1,0,3,0,2,0,0,0,0,2,0,0,0,0,2,1,3,1,2,1,8,0,1,5,1,1,4,0,0,11,1,0,0,1,10,6,1,0,0,0
2,0,6,4,0,2,32,5,0,5,0,18,0.3,4,4,3,0,9,0,0.444444,0,7,0,0,0,0,0,7,0,0,6,0,0,0,0,0,6,0,0,0,0,6,5,0,1,0,0
1,26,1,1,29,2,13,2,0,3,0,5,0.5,3,3,1,3,4,0,0.75,0,2,0,0,0,0,0,2,0,0,17,1,0,0,0,0,18,0,0,0,0,18,17,0,1,0,1
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,258,0,0,0,19,0,239,0,19,520,0,1,0,0,0,521,0,0,0,0,521,23,0,1,0,0
0,7,0,0,11,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,5,0,0,0,0,5,4,0,0,0,0
2,1,0,0,5,2,52,14,0,3,0,16,1,1,1,13,0,1,0,1,0,3,0,0,13,13,13,3,0,0,8,3,2,0,12,0,1,0,0,12,0,1,12,0,1,0,0
1,6,1,1,20,2,10,2,0,2,0,4,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,1,0,0,10,0,0,0,0,10,8,0,2,0,0
1,15,4,2,19,3,56,12,0,7,0,17,0.555556,8,12,5,0,12,0,0.666667,0,0,8,3,7,7,7,8,0,0,9,0,2,0,0,0,11,0,0,0,0,11,7,0,3,0,1
4,7,0,0,11,1,5,1,0,4,0,14,1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,18,0,0,0,0,0,18,0,0,0,0,18,3,0,3,0,0
2,6,2,2,6,3,72,16,0,9,0,41,0.923077,8,10,12,0,13,0,0.615385,0,0,0,13,5,5,5,8,0,0,3,0,0,6,0,0,9,0,0,0,0,9,3,0,6,0,1
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21,0,0,0,0,0,21,0,0,0,0,21,18,0,1,0,0
0,2,0,0,2,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,47,31,22,21,25,10,1,46,16,0,20,0,0,82,6,0,0,6,76,74,0,1,0,0
0,6,0,0,14,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,24,0,0,14,8,8,13,6,0,54,5,0,0,0,0,59,4,0,0,4,55,31,0,4,0,0
1,11,0,0,11,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,4,3,0,0,11,0,0,0,0,11,8,0,1,0,0
0,0,0,0,0,1,4,1,0,0,0,0,0,2,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,1,20,1,0,0,1,20,20,0,1,0,0
1,10,0,0,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,11,11,0,0,0,0
0,6,0,0,13,1,4,1,0,0,0,2,1,0,0,2,1,0,0,0,0,1,18,1,7,7,7,20,0,0,26,8,7,0,0,0,41,1,0,0,1,40,35,0,3,0,0
0,11,0,0,11,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,0,0,1,0,0
3,7,0,0,9,2,9,2,0,4,0,3,0,3,3,0,1,3,0,1,0,1,0,0,2,3,2,0,0,1,85,2,17,0,0,0,104,2,0,0,2,102,93,0,1,0,1
0,6,0,0,20,1,3,1,0,0,0,1,1,0,0,1,1,0,0,0,0,179,0,0,26,3,1,153,25,2,380,25,0,54,0,0,459,12,0,0,12,447,230,0,1,0,0
0,9,0,0,17,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,179,0,0,26,3,1,153,25,2,380,25,0,54,0,0,459,12,0,0,12,447,230,0,1,0,0
2,10,0,0,10,6,59,12,0,8,0,10,1,3,4,1,1,5,0,0.6,0,0,5,0,0,1,0,5,0,1,9,0,1,0,0,0,10,2,0,0,2,8,5,0,0,1,1
0,11,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,0
1,8,0,0,16,1,3,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0
0,1,0,0,1,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,3,1,0,0,0,0,4,1,0,0,1,3,3,0,1,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,1,0,0,0
1,6,0,0,6,3,11,3,0,3,0,7,1,3,1,3,0,3,0,1,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,0,0,0,6,4,0,1,0,1
0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,0
0,11,0,0,11,1,6,1,0,1,0,2,1,1,1,1,1,1,0,1,0,0,5,10,5,0,0,10,5,0,6,0,6,2,0,2,12,0,0,0,0,14,9,0,1,0,0
0,8,0,0,15,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,3,0,0,0,3,41,0,4,0,0,0,45,44,0,0,44,1,44,0,1,1,0
0,0,6,2,0,3,54,9,0,6,0,15,0.222222,6,13,2,3,14,0,0.428571,0,2,0,0,1,0,0,1,1,0,3,4,0,1,0,0,8,0,0,0,0,8,7,1,0,0,0
1,10,0,0,11,2,8,4,0,1,0,2,1,4,4,1,1,4,0,1,0,2,4,0,5,5,5,1,0,0,14,0,13,0,0,1,26,1,0,0,1,26,22,0,2,0,1
2,18,0,0,18,3,32,5,0,3,0,8,1,5,6,5,1,6,0,0.833333,0,0,6,0,3,3,3,6,0,0,44,0,0,0,0,7,37,1,0,0,1,43,28,0,2,0,1
0,8,0,0,14,1,8,2,0,1,0,1,0,0,0,0,1,0,0,0,0,17,3,0,7,4,4,17,3,0,95,5,17,0,0,0,117,0,0,0,0,117,94,0,2,0,0
0,7,0,0,16,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,8,0,0,0,0,8,2,0,1,0,0
1,0,0,0,0,3,8,2,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,0
0,11,0,0,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,0,0
1,11,0,0,11,2,5,1,0,1,0,2,1,0,0,1,0,0,0,0,0,35,3,0,25,26,25,37,0,1,72,12,19,2,0,0,105,2,0,0,2,103,88,0,1,0,0
1,6,1,1,9,1,3,1,0,1,0,2,1,3,2,1,0,3,0,1,0,1,0,0,2,2,2,1,0,0,12,0,0,0,0,0,12,0,0,0,0,12,8,0,2,0,1
0,11,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,8,0,0,0,0,8,0,0,0,0,0,8,6,0,0,0,0
0,11,0,0,11,1,5,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,3,0,1,1,1,3,0,0,4,0,4,0,1,3,4,0,0,1,0,7,5,0,2,0,0
0,2,0,0,2,1,4,2,0,0,0,1,1,0,0,1,0,0,0,0,0,32,0,0,2,2,2,31,0,0,81,0,2,0,0,0,83,0,0,0,0,83,15,0,1,0,0
1,0,0,0,0,3,16,4,0,3,0,4,1,1,1,2,0,1,0,1,0,0,2,0,1,1,1,2,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,2,0,0
0,1,0,0,1,1,3,1,0,0,0,3,1,0,0,3,0,0,0,0,0,8,0,0,6,8,6,0,0,2,10,0,0,0,10,0,0,10,10,0,0,0,10,0,0,1,0
2,6,3,1,6,6,59,8,0,12,0,19,0.571429,7,11,4,0,14,0,0.5,0,4,0,0,1,1,1,4,0,0,3,1,0,0,0,0,4,0,0,0,0,4,2,0,1,0,1
1,8,0,0,8,1,12,2,0,1,0,7,1,6,6,6,1,6,0,1,0,24,0,0,1,1,1,23,0,0,41,1,3,0,0,0,45,0,0,0,0,45,28,0,2,0,1
3,9,10,1,9,1,38,11,0,5,0,15,0,6,9,0,7,9,0,0.666667,0,1,0,0,0,0,0,1,0,0,120,14,3,0,0,0,137,0,0,0,0,137,136,1,0,0,1
3,7,1,1,14,1,6,3,0,4,0,5,0,3,4,0,1,5,0,0.6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,1,12,11,0,1,0,12,0,0,1,1
0,9,0,0,12,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,14,0,0,5,5,5,14,0,0,36,0,0,0,0,0,36,0,0,0,0,36,15,0,1,0,0
1,9,0,0,9,3,14,4,0,3,0,6,1,4,3,1,0,5,0,0.8,0,5,0,0,0,0,0,5,0,0,21,0,9,0,11,0,19,0,0,11,0,19,17,0,4,0,1
1,9,0,0,74,2,10,2,0,2,0,4,1,3,3,2,1,3,0,1,0,0,0,3,2,0,0,1,2,0,27,0,0,8,0,0,35,0,0,0,0,35,34,0,1,0,1
1,6,2,2,6,4,18,6,0,6,0,10,0.333333,5,6,1,2,8,0,0.625,0,2,4,0,5,5,5,1,0,0,14,0,13,0,0,1,26,1,0,0,1,26,22,0,2,0,1
3,9,3,2,9,1,17,5,0,5,0,10,0.4,5,7,2,1,8,0,0.625,0,15,0,0,0,0,0,16,0,0,9,11,0,3,0,0,23,0,0,0,0,23,19,0,1,0,1
1,10,0,0,18,2,11,2,0,1,0,8,0.857143,2,1,6,1,2,0,1,0,10,0,0,4,4,4,6,0,0,20,4,0,0,0,0,24,0,0,0,0,24,22,0,2,0,0
0,3,0,0,4,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,4,4,4,4,0,0,8,4,0,0,0,0,12,0,0,0,0,12,2,0,2,0,0
0,0,0,0,0,2,17,2,0,5,0,5,0,2,7,0,0,7,0,0.285714,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,31,0,0,31,0,31,0,0,1,0
1,6,0,0,13,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0
0,8,0,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,10,0,0,0,0,10,0,0,0,0,0,10,7,0,0,0,0
0,9,0,0,11,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,19,0,0,0,0,0,19,0,0,0,0,19,5,1,0,0,0
0,14,0,0,51,3,14,3,0,3,0,6,0.5,3,2,1,0,3,0,1,0,6,0,0,3,2,2,3,1,0,9,2,2,0,0,0,13,1,0,0,1,12,9,0,1,0,1
0,6,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,7,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0
2,0,2,1,0,2,7,2,0,4,0,7,0.333333,2,3,1,0,3,0,0.666667,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,10,0,0,0,0,10,8,0,1,0,0
0,7,12,2,10,6,97,33,0,11,0,37,0.56,3,6,14,2,6,0,0.5,0,17,0,4,4,4,4,20,0,0,24,2,0,17,0,0,43,0,0,0,0,43,20,0,2,0,1
5,18,0,0,23,2,23,5,0,10,0,10,0,6,7,0,2,7,0,0.857143,0,16,0,0,1,1,1,15,0,0,46,0,11,0,0,0,57,0,0,0,0,57,41,0,1,0,1
1,11,0,0,11,1,4,1,0,1,0,3,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,11,0,3,0,12,0,2,0,0,12,0,2,3,1,0,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,9,0,0,4,4,4,9,0,0,21,0,0,0,0,0,21,1,0,0,1,20,2,1,0,0,0
0,11,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,43,0,0,0,0,0,43,38,0,0,0,0
1,2,1,1,2,3,18,4,0,3,0,5,0.666667,1,2,2,1,3,0,0.333333,0,0,0,2,0,0,0,2,0,0,26,0,0,0,0,0,26,0,0,0,0,26,23,0,2,0,0
4,5,30,8,7,4,136,36,1,13,2,45,0.0625,11,15,2,0,23,2,0.478261,0,2,0,0,4,4,4,1,0,0,6,0,0,0,0,0,6,2,0,0,2,4,3,0,1,1,1
1,9,0,0,12,1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,3,7,6,3,1,4,3,54,5,0,2,0,0,61,9,0,0,9,52,55,0,1,0,0
2,6,16,2,6,2,35,5,0,3,0,19,0,5,6,0,0,10,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,4,1,0,0,1,5,5,0,1,0,1
0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,0
1,5,1,1,10,2,7,2,0,2,0,5,1,4,4,1,1,5,0,0.8,0,1,0,0,2,2,2,0,0,0,17,0,0,0,0,0,17,0,0,0,0,17,14,0,1,0,1
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,8,0,0,0,0,0,8,1,0,0,1,7,7,0,1,1,0
1,7,0,0,7,6,80,17,0,14,0,18,1,4,6,4,3,6,0,0.666667,0,8,0,0,2,1,1,6,1,0,5,1,10,0,8,0,8,0,0,8,0,8,7,0,0,0,1
1,7,3,3,9,1,11,4,0,6,0,9,0,3,0,0,3,3,0,1,0,3,0,0,5,2,2,0,3,0,6,5,0,0,0,0,11,10,0,0,10,1,10,0,1,1,1
3,9,8,4,15,2,38,9,0,7,0,21,0.2,7,7,2,0,14,0,0.5,0,0,5,0,1,0,0,4,1,0,45,0,1,0,0,0,46,1,0,0,1,45,31,0,5,0,1
1,13,1,1,13,3,46,5,0,5,0,9,0.75,6,6,3,0,7,0,0.857143,0,4,18,0,3,3,3,22,0,0,13,1,35,0,0,2,47,0,0,0,0,49,38,0,1,0,1
0,11,0,0,13,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0,0,8,8,8,5,0,0,35,0,0,0,0,0,35,2,0,0,2,33,11,0,10,0,0
0,14,4,2,15,1,10,1,0,1,0,10,0.333333,5,3,2,1,9,0,0.555556,0,13,0,0,1,1,1,18,0,0,58,7,22,0,0,0,87,0,0,0,0,87,80,0,1,0,1
2,9,0,0,16,1,5,1,0,2,0,4,1,0,0,2,0,0,0,0,0,0,1,0,8,8,8,2,0,0,7,0,1,0,0,3,5,1,0,0,1,7,7,0,1,0,0
1,22,1,1,22,2,7,2,0,3,0,4,0,3,3,0,1,4,0,0.75,0,3,1,0,2,2,2,2,0,0,11,0,0,0,0,0,11,0,0,0,0,11,8,0,1,0,1
2,8,6,4,9,2,53,13,0,10,0,22,0.333333,3,3,3,1,7,0,0.428571,0,17,3,0,7,4,4,17,3,0,95,5,17,0,0,0,117,0,0,0,0,117,94,0,2,0,1
0,1,0,0,1,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,6,0,0,0,0,6,5,0,1,0,0
0,9,0,0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0
3,0,0,0,0,1,8,1,0,4,0,6,1,0,0,1,1,0,0,0,0,7,0,0,0,0,0,7,0,0,73,8,0,0,0,0,81,0,0,0,0,81,59,0,1,0,0
1,11,0,0,11,1,15,3,0,1,0,4,1,0,0,3,1,0,0,0,0,33,0,34,19,11,10,48,9,1,36,42,1,46,0,0,125,10,0,0,10,115,107,0,1,0,0
8,6,0,0,6,3,31,3,0,14,0,14,0,3,10,0,1,10,0,0.3,0,14,0,0,1,1,1,13,0,0,46,1,9,0,0,0,56,1,0,0,1,55,41,0,1,0,1
4,6,1,1,6,6,58,12,0,11,0,12,0,3,5,0,1,6,0,0.5,0,0,4,1,1,1,1,4,0,0,9,0,8,0,0,0,17,0,0,0,0,17,13,0,1,0,1
1,7,0,0,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,8,1,0,0,0,0,9,0,0,0,0,9,6,0,1,0,0
0,6,0,0,6,2,11,5,0,0,0,4,1,3,3,4,2,3,0,1,0,24,8,0,9,11,9,21,0,2,62,9,51,0,1,0,121,1,0,1,1,120,88,0,1,0,1
3,11,0,0,12,1,5,1,0,3,0,6,1,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,7,0,0,0,0,0,7,0,0,0,0,7,2,0,2,0,0
1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,36,0,0,0,0,36,25,0,1,0,0
0,8,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0
0,0,2,2,0,4,48,12,0,5,0,10,0.666667,2,5,4,7,5,0,0.4,0,6,1,2,1,0,0,12,1,0,88,257,0,6,335,0,16,1,0,335,1,15,346,0,3,0,0
1,0,0,0,0,1,22,5,0,3,0,4,1,1,1,1,5,1,0,1,0,32,8,19,16,6,5,45,11,1,218,21,5,11,45,0,210,2,0,45,2,208,206,0,1,0,0
0,0,0,0,0,1,8,6,0,0,0,3,1,0,0,3,3,0,0,0,0,34,0,1,1,0,0,37,1,0,134,353,0,0,112,0,375,1,0,112,1,374,473,0,5,0,0
1,0,0,0,0,1,3,1,0,1,0,2,1,1,1,1,0,1,0,1,0,4,0,0,1,0,0,3,1,0,28,0,0,0,0,0,28,0,0,0,0,28,19,0,2,0,0
0,9,0,0,21,1,3,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,3,0,12,12,12,3,0,0,17,0,4,0,0,0,21,0,0,0,0,21,14,0,3,0,0
0,6,1,1,6,2,22,3,0,2,0,6,1,4,5,3,0,6,0,0.666667,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,0,0,0,6,4,0,1,0,1
1,0,2,1,0,4,81,13,0,10,0,24,0.818182,6,16,9,0,18,0,0.333333,0,0,8,1,1,1,1,8,0,0,24,0,3,0,0,0,27,1,0,0,1,26,19,0,1,0,0
0,7,0,0,19,2,15,2,0,4,0,7,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,25,0,0,0,9,0,16,0,0,9,0,16,23,0,2,0,0
4,0,0,0,0,4,29,6,0,7,0,8,1,0,0,1,2,0,0,0,0,0,2,0,0,1,0,1,0,1,5,0,3,0,0,0,8,0,0,0,0,8,5,0,2,0,0
1,8,4,3,12,3,13,4,0,2,0,11,0.555556,3,2,5,1,5,0,0.6,0,9,7,0,2,2,2,15,0,0,52,3,6,0,8,0,53,1,0,8,1,52,34,0,3,0,1
0,11,0,0,20,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,19,0,0,0,1,0,18,0,1,39,1,1,0,0,0,41,0,0,0,0,41,26,0,1,0,0
0,0,1,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,4,0,0,0,0,4,3,1,0,0,0
2,10,0,0,15,1,4,1,0,2,0,6,1,0,0,1,0,0,0,0,0,17,3,0,7,4,4,17,3,0,95,5,17,0,0,0,117,0,0,0,0,117,94,0,2,0,0
0,6,1,1,11,3,12,3,0,1,0,3,0.5,3,3,1,0,3,0,1,0,7,0,0,1,1,1,7,0,0,32,1,0,6,0,0,39,0,0,0,0,39,23,0,1,0,1
2,52,0,0,80,2,14,5,0,4,0,4,0,3,3,0,3,3,0,1,0,7,1,5,13,14,12,8,1,2,57,1,1,0,10,21,28,8,0,10,8,41,45,0,1,1,1
0,10,0,0,14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,1,0,2,0,9,0,0,2,0,9,8,0,1,0,1
0,7,2,1,8,9,85,17,0,5,0,21,0.857143,4,7,12,4,8,0,0.5,0,23,0,2,0,0,0,25,0,0,43,5,0,7,0,0,55,0,0,0,0,55,36,0,1,0,1
1,9,4,2,18,3,56,16,0,7,0,13,0.2,3,7,1,0,9,0,0.333333,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1
0,14,0,0,16,2,7,2,0,0,0,3,1,3,4,3,0,4,0,0.75,0,4,7,0,18,19,18,9,0,1,158,6,1,10,1,0,174,4,0,1,4,170,124,0,1,0,1
0,8,0,0,13,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,15,2,0,0,0,0,17,0,0,0,0,17,5,0,4,0,0
3,7,0,0,12,1,3,1,0,3,0,3,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,8,6,1,2,0,93,6,0,2,6,87,91,0,4,0,0
1,9,0,0,16,2,10,2,0,1,0,4,1,0,0,3,0,0,0,0,0,3,6,3,10,10,10,8,0,0,49,4,2,0,6,0,49,7,0,6,7,42,32,0,6,0,0
