@relation 'Training_Citical Dataset'

@attribute AMWNAMM_type numeric
@attribute AMW_type numeric
@attribute ATFD_type numeric
@attribute CBO_type numeric
@attribute CFNAMM_type numeric
@attribute DIT_type numeric
@attribute FANOUT_type numeric
@attribute LCOM5_type numeric
@attribute LOCNAMM_type numeric
@attribute LOC_type numeric
@attribute NIM_type numeric
@attribute NMO_type numeric
@attribute NOAM_type numeric
@attribute NOA_type numeric
@attribute NOCS_type numeric
@attribute NOC_type numeric
@attribute NOII_type numeric
@attribute NOMNAMM_type numeric
@attribute NOM_type numeric
@attribute NOPA_type numeric
@attribute RFC_type numeric
@attribute TCC_type numeric
@attribute WMCNAMM_type numeric
@attribute WMC_type numeric
@attribute WOC_type numeric
@attribute isStatic_type numeric
@attribute num_final_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_abstract_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute number_final_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_package_visibility_attributes numeric
@attribute number_package_visibility_methods numeric
@attribute number_private_visibility_attributes numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_protected_visibility_methods numeric
@attribute number_public_visibility_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_static_methods numeric
@attribute class {1,2,3,4}

@data
1,1,0,2,0,1,0,0.833333,29,29,0,0,6,3,0,0,0,1,7,0,7,0.2,1,7,0.142857,1,0,0,0,3,0,0,0,0,1,0,0,0,7,7,0,0,0,3,0,0,0,7,0,0,2
0,1,0,2,0,1,0,0.8,25,25,0,0,6,3,0,0,0,0,6,0,6,0.2,0,6,0,1,0,0,0,3,0,0,0,1,0,0,0,0,7,7,0,0,0,3,0,0,0,7,0,0,2
8.833333,8.355556,53,47,110,3,41,0.827922,1538,1564,59,2,3,7,1,0,1,42,45,0,263,0.378917,371,376,0.88,0,1,0,1,6,1,0,0,0,4,0,0,0,45,41,4,0,1,7,14,0,5,25,38,4,4
5.3125,4.8,32,3,3,2,3,0.961755,2128,2214,13,3,7,46,1,0,1,48,55,15,72,0.326797,255,264,0.392857,0,17,0,17,29,17,0,0,0,2,0,0,0,55,55,0,0,0,23,35,8,7,13,46,0,3
4.2,4.2,5,5,6,3,1,1,83,83,32,0,0,19,0,0,0,5,5,19,57,1,21,21,0.05,0,0,0,0,19,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,0,0,1,5,0,1
1,1,0,2,1,2,1,1,76,76,0,0,0,8,2,0,0,2,2,8,3,1,2,2,0.2,0,0,0,0,8,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1
2.125,2.125,2,15,14,1,13,1,155,155,0,0,0,10,0,9,2,8,8,9,23,0.047619,17,17,0,0,8,0,8,2,8,0,3,0,1,0,0,0,5,7,1,0,0,0,0,1,1,7,7,1,2
0,1,0,0,0,1,0,0.960317,8,224,0,0,22,12,0,0,0,0,22,1,22,0.047619,0,22,0,0,1,0,1,11,1,0,0,1,0,0,0,0,23,23,0,0,0,11,0,0,0,23,0,0,2
0,1,0,2,0,1,0,0.8,24,24,0,0,6,3,0,1,0,0,6,0,6,0.2,0,6,0,1,0,0,0,3,0,0,0,1,0,0,0,0,7,7,0,0,0,3,0,0,0,7,0,0,2
2,1.5,1,5,7,1,5,1,30,47,0,0,1,1,0,0,0,1,2,0,9,1,2,3,0.5,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,3,1,0,1
2,1.166667,0,2,0,2,0,1,55,107,2,0,5,8,0,0,0,1,6,2,6,0,2,7,0.125,0,1,0,1,5,3,2,0,0,1,0,0,0,6,6,0,0,0,1,0,5,0,6,0,0,2
6.555556,4.970149,84,105,44,4,13,0.995511,1493,1692,737,40,22,54,0,0,0,45,67,32,1110,0.128671,295,333,0.447917,0,39,0,39,15,39,0,0,0,1,1,1,0,66,66,0,0,0,22,0,0,3,64,44,0,4
1.25,1.125,0,0,0,1,0,0.857143,20,40,0,0,4,4,0,0,1,4,8,0,8,0.333333,5,9,0.5,1,2,2,0,2,0,0,0,0,2,0,0,0,8,8,0,0,0,4,0,0,0,8,2,0,2
1,1,0,9,2,6,2,0,29,29,45,0,0,0,0,0,0,5,5,0,18,0,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,3,2,4,0,1
1.315789,1.315789,6,25,7,1,5,1,94,94,0,0,0,3,0,0,1,19,19,0,28,0.006536,25,25,1,0,0,0,0,2,1,1,0,0,1,0,0,0,19,19,0,0,0,3,0,0,0,19,18,0,1
1,1,0,9,2,2,2,0,21,21,4,1,0,0,0,0,0,2,2,0,22,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,1
1.111111,1.111111,1,12,3,2,4,0,82,82,3,0,0,0,0,0,0,9,9,0,20,0,10,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,9,8,0,1
3.723077,3.282353,47,54,105,2,33,0.977891,1901,2167,102,9,20,35,6,0,0,65,85,12,350,0.23843,242,279,0.625,0,21,1,20,14,20,0,0,0,1,0,0,0,85,83,2,2,3,21,10,0,4,68,64,2,4
1,1,0,1,0,1,0,0.777778,14,44,0,1,6,3,0,0,0,1,7,0,7,0.238095,1,7,0.142857,0,0,0,0,3,0,0,0,1,0,0,0,0,8,8,0,0,0,3,0,0,0,8,1,0,2
4,1.583333,1,2,2,1,2,0.890909,42,97,0,0,10,5,0,0,1,2,12,0,14,0.163636,8,19,0.166667,0,0,0,0,5,0,0,0,0,1,0,0,0,12,11,1,5,0,0,0,0,0,12,1,1,2
1,1,0,4,0,1,0,0.866667,105,175,0,1,7,7,0,0,1,9,16,0,16,0.2,9,16,0.5625,0,0,0,0,7,0,0,0,0,1,0,0,0,16,16,0,0,0,7,0,0,0,16,8,0,2
1,1,0,0,0,1,0,0,38,38,0,0,0,6,0,0,0,1,1,6,1,1,1,1,0,0,6,0,6,0,6,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
6.225,5.953488,34,38,89,3,21,0.944444,1348,1400,123,34,3,3,1,0,0,40,43,0,302,0.340244,249,256,0.909091,0,0,0,0,2,1,1,0,0,2,0,0,0,43,43,0,1,0,1,0,1,10,33,38,0,4
1,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1
1,1,0,3,2,1,2,0,3,3,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1
1,1,0,0,0,1,0,0,24,24,0,0,0,6,0,0,0,1,1,6,1,1,1,1,0.142857,0,3,0,3,3,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1.5,1.1,0,1,1,1,1,0.888889,22,86,0,0,8,4,0,0,0,2,10,0,11,0.142857,3,11,0,0,0,0,0,4,0,0,0,0,2,0,0,0,10,10,0,0,6,4,0,0,0,4,0,0,2
2.333333,1.8,0,7,4,3,2,0.75,75,95,18,2,2,4,0,0,0,3,5,0,27,0.6,7,9,0.6,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,4,0,0,0,5,3,0,1
6.159091,4.966667,39,37,50,5,33,0.955135,1866,2091,520,0,16,34,1,0,11,44,60,1,144,0.263645,271,298,0.666667,0,2,0,2,29,5,3,0,0,1,0,0,0,60,60,0,0,0,19,12,14,1,47,43,0,3
1,1,0,784,1,7,2,0,27,27,101,0,0,1,0,0,0,1,1,0,888,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0.8,28,28,0,0,6,3,0,0,0,0,6,0,6,0.2,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,7,0,0,0,3,0,0,0,7,0,0,2
1.142857,1.333333,3,3,6,1,3,1,93,131,0,1,2,3,0,0,0,7,9,0,12,0,8,12,0.75,0,0,0,0,3,0,0,0,0,3,0,0,0,9,9,0,0,0,3,1,0,0,8,4,0,1
12.5,9.034483,51,31,58,1,31,0.947368,1005,1101,0,1,9,19,3,0,0,20,29,10,128,0.471429,250,262,0.424242,0,13,0,13,6,13,0,0,0,2,2,2,0,27,26,1,0,0,9,6,0,0,23,18,1,4
5.275,5.275,66,47,67,6,37,0.94359,1353,1353,555,1,0,10,4,0,1,40,40,0,210,0.381818,211,211,1,0,5,1,4,5,4,0,0,0,1,0,0,0,40,39,1,0,0,10,28,0,0,12,39,1,4
2.333333,2.333333,5,7,5,3,3,0.6,44,44,30,3,0,1,0,0,0,6,6,0,52,0.2,14,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,7,7,0,1,3,0,0,0,0,4,6,0,1
1.142857,1.05,2,2,0,1,0,0.942105,32,99,0,0,13,10,0,1,0,7,20,0,20,0.130719,8,21,0.352941,0,0,0,0,10,0,0,0,0,2,0,0,0,20,20,0,0,1,6,0,4,2,17,5,0,2
8.307692,4.174603,63,23,56,1,20,0.959531,1079,1562,0,0,37,55,0,0,0,26,63,13,168,0.311475,216,263,0.289855,0,16,0,16,39,16,0,0,0,1,0,0,0,63,57,6,0,0,10,1,32,6,56,25,6,4
6,6,2,3,1,1,1,0,34,34,0,0,0,0,0,0,1,1,1,0,2,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1
0,1,0,0,0,1,0,0.888889,22,22,0,0,10,5,0,0,0,0,10,0,10,0.111111,0,10,0,0,0,0,0,5,0,0,0,1,0,0,0,0,11,11,0,0,0,5,0,0,0,11,0,0,2
1,1,0,3,1,2,1,0,42,42,29,0,0,8,0,0,0,1,1,8,42,1,1,1,0.111111,0,8,0,8,0,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2.4,2.387097,146,47,76,7,60,0.981818,1858,1881,533,0,1,22,34,0,0,30,31,0,116,0.428571,72,74,0.875,0,20,18,2,2,2,0,0,0,1,0,0,0,31,31,0,0,0,20,23,2,0,8,29,0,3
5.888889,5.888889,16,14,44,1,15,0.914286,1485,1485,0,0,0,2,3,0,1,36,36,0,90,0.113846,212,212,1,0,2,1,1,0,1,0,0,0,2,0,0,0,36,4,32,0,6,1,8,1,0,22,34,32,4
2,2,0,1,1,1,1,0,24,24,0,0,0,1,0,2,0,2,2,1,3,1,4,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,1
3.875,3.875,13,6,8,1,4,0.892857,125,125,0,1,0,5,0,0,0,8,8,0,16,0.5,31,31,1,0,3,3,0,2,0,0,0,0,2,0,0,0,8,8,0,5,0,0,3,0,0,5,6,0,2
1,1,0,0,0,5,0,0,7,7,15,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0.923077,68,68,0,0,14,7,0,0,0,0,14,0,14,0.076923,0,14,0,0,0,0,0,7,0,0,0,1,0,0,0,0,15,15,0,0,0,7,0,0,0,15,0,0,2
12.037037,10.709677,3,2,1,1,1,0.92619,1357,1399,0,2,4,28,0,1,2,27,31,0,32,0.278325,325,332,0.75,0,14,0,14,14,14,0,0,0,1,0,0,0,31,30,1,0,0,3,1,25,18,12,26,1,3
1.833333,1.833333,0,0,1,4,1,1,59,59,45,1,0,1,1,0,0,6,6,0,7,0,11,11,1,0,1,1,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,1,1,0,1,4,5,0,1
1,1,0,0,0,1,0,1,7,22,0,0,3,3,0,0,0,1,4,3,4,0,1,4,0.142857,0,0,0,0,3,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,2
0,1,0,0,0,1,0,0.8,26,26,0,0,6,3,0,0,1,0,6,0,6,0.2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,6,0,0,2
6.794521,6.794521,123,73,158,3,49,0.944444,6908,6908,34,1,0,1,0,0,0,73,73,0,396,0.006036,496,496,0,0,1,0,1,0,1,0,0,0,1,0,0,0,73,73,0,1,71,0,1,0,1,0,72,0,4
1.2,1.428571,0,3,4,2,2,0.666667,68,98,11,2,2,2,0,0,1,5,7,0,22,1,6,10,0.6,0,1,0,1,1,1,0,0,0,3,0,0,0,7,7,0,1,2,1,0,0,0,5,2,0,1
7.488372,7.488372,47,37,36,3,10,0.833333,1527,1527,87,10,0,1,0,0,0,43,43,1,183,0.063879,322,322,0.976744,0,1,1,0,0,0,0,0,0,1,0,0,0,43,36,7,0,1,0,0,0,0,42,42,7,4
1,1,9,2,1,2,1,0,105,105,2,0,0,27,0,0,0,1,1,27,4,1,1,1,0,0,27,0,27,0,27,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1.25,1.25,0,2,8,1,2,0.142857,88,88,0,1,0,1,0,0,1,8,8,0,16,1,10,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8,8,0,0,1,1,0,0,0,7,7,0,1
1,1,0,1,0,1,0,1,53,101,0,0,6,6,0,0,0,1,7,0,7,0,1,7,0.142857,1,0,0,0,6,0,0,0,0,1,0,0,0,7,7,0,0,0,6,0,0,0,7,0,0,2
4.089286,3.859375,7,51,52,5,19,0.965812,1286,1371,169,4,8,13,2,0,1,56,64,1,241,0.088627,229,247,0.826087,0,7,3,4,5,5,1,0,0,3,0,0,0,64,63,1,0,2,12,10,0,7,45,53,1,3
1,1.285714,0,0,0,1,0,0.777778,45,79,0,1,4,3,0,0,1,3,7,0,7,0.238095,3,9,0.428571,0,0,0,0,3,0,0,0,0,0,0,0,0,7,7,0,0,0,3,0,0,0,7,3,0,2
1,1,0,5,0,3,0,0,4,4,32,0,0,2,0,0,0,1,1,2,49,1,1,1,0.333333,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
3.678571,3.583333,23,43,31,5,15,0.915254,1339,1399,181,26,4,8,2,4,3,56,60,0,348,0.337979,206,215,1,0,1,0,1,7,1,0,0,0,4,0,0,0,60,60,0,2,23,0,14,6,11,12,52,0,3
6.108108,5.846154,12,25,35,4,16,0.966507,1676,1699,92,2,2,11,1,0,0,37,39,0,220,0.334454,226,228,0.933333,0,3,0,3,8,3,0,0,0,1,0,0,0,39,36,3,5,0,5,3,1,6,30,36,3,3
1.75,1.833333,0,1,1,1,1,0.937304,390,518,0,0,6,11,0,0,1,24,30,0,31,0.261084,42,55,0.8,0,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0,1
1,1,0,0,0,1,0,0.95,121,335,0,0,16,8,0,0,1,5,21,0,21,0.066667,5,21,0.238095,0,0,0,0,8,0,0,0,0,5,0,0,0,21,21,0,0,0,0,0,8,0,21,0,0,2
1,1,0,0,0,1,0,1,77,127,0,0,6,6,0,0,1,5,11,6,11,0,5,11,0.294118,0,0,0,0,6,0,0,0,0,5,0,0,0,11,11,0,0,0,0,0,0,0,11,0,0,2
1,1,0,0,0,1,0,1,92,142,0,0,6,6,0,0,1,5,11,0,11,0,5,11,0,0,6,6,0,0,0,0,0,0,5,0,0,0,11,11,0,0,5,6,0,0,0,6,0,0,2
1,1,0,0,0,1,0,0.9,43,83,0,0,8,4,0,0,1,3,11,0,11,0.142857,3,11,0.272727,0,0,0,0,4,0,0,0,0,3,0,0,0,11,11,0,0,0,4,0,0,0,11,0,0,2
1,1,0,0,0,1,0,0.875,6,118,0,0,8,4,0,0,1,1,9,0,9,0.142857,1,9,0.111111,0,0,0,0,4,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,4,0,9,0,0,2
1,1,0,0,0,1,0,0.875,6,118,0,0,8,4,0,0,1,1,9,0,9,0.142857,1,9,0,0,0,0,0,4,0,0,0,0,1,0,0,0,9,9,0,0,1,4,0,0,0,8,0,0,2
3.333333,3.333333,1,2,3,5,2,0,88,88,72,0,0,0,0,0,0,3,3,0,6,1,10,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1,2
11,10.55,49,17,23,1,16,0.908587,852,1078,0,0,4,19,1,0,2,16,20,0,52,0.484848,176,211,0.692308,0,14,2,12,5,12,0,0,0,1,0,0,0,20,20,0,0,0,6,7,13,0,13,15,0,3
4.666667,4.444444,28,9,38,4,9,0.935065,1033,1065,516,2,3,37,0,0,2,42,45,4,94,0.252439,196,200,0.806452,0,0,0,0,34,3,3,0,0,1,0,0,0,45,45,0,0,1,0,3,33,14,27,41,0,3
7,7,0,1,1,1,1,0,24,24,0,0,0,0,0,0,1,1,1,0,2,1,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1
1,1,0,0,0,1,0,1,35,63,0,0,4,4,0,0,0,1,5,0,5,0,1,5,0.2,1,0,0,0,4,0,0,0,0,1,0,0,0,5,5,0,0,0,4,0,0,0,5,0,0,2
3.857143,3.857143,0,2,7,6,5,1,239,239,0,0,0,1,3,5,0,7,7,0,14,0,27,27,0,0,0,0,0,1,0,0,2,0,2,0,0,0,5,5,2,0,0,0,1,1,0,6,5,2,1
0,1,0,1,0,1,0,0.888889,109,109,0,0,10,5,0,0,0,0,10,0,10,0.111111,0,10,0,0,0,0,0,5,0,0,0,1,0,0,0,0,11,11,0,0,0,5,0,0,0,11,0,0,2
5,5,2,7,13,3,5,0.9,70,70,30,3,0,7,0,0,0,6,6,0,52,0.2,30,30,1,0,0,0,0,4,3,3,0,0,0,0,0,0,6,6,0,4,3,3,0,0,0,3,6,0,1
4.915789,4.81,9,36,103,1,33,0.956083,3446,3545,0,0,5,46,0,1,3,95,100,0,212,0.500947,467,481,0.94186,0,2,0,2,43,3,1,0,0,2,30,30,0,70,63,7,0,0,1,0,45,14,86,93,7,3
5.837209,5.837209,36,94,53,2,23,0.94958,1958,1958,114,2,0,17,4,0,1,43,43,0,210,0.333333,251,251,1,0,12,10,2,5,2,0,0,0,2,0,0,0,43,43,0,0,0,17,38,0,0,5,41,0,3
5.507463,4.814815,79,48,75,1,32,0.956696,1731,1854,0,1,14,28,0,12,1,67,81,4,163,0.43956,369,390,0.814815,0,13,0,13,15,13,0,0,0,3,0,0,0,81,74,7,18,57,1,0,5,1,23,64,7,4
1,1,6,4,2,2,2,0,83,83,0,0,0,0,0,5,0,8,8,0,10,0,8,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,0,1
12.916667,12.648649,68,56,63,2,19,1,1825,1836,71,7,1,2,0,1,0,36,37,0,219,0.005848,465,468,0.833333,0,0,0,0,2,0,0,0,0,7,0,0,0,37,35,2,2,19,0,11,0,1,6,29,2,3
1,1,0,1,0,1,0,1,38,38,0,0,0,8,0,0,0,3,3,8,3,1,3,3,0.272727,0,8,5,3,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,1
1.090909,1.071429,0,4,5,1,3,0.903846,174,214,0,0,3,4,0,0,1,11,14,0,19,0.076923,12,15,0.785714,0,0,0,0,4,0,0,0,0,1,0,0,0,14,13,1,0,0,4,0,0,0,14,10,1,1
3.891304,3.440678,6,9,32,2,19,0.970905,957,1097,50,1,13,32,12,0,1,46,59,5,96,0.120108,179,203,0.652174,0,2,0,2,30,2,0,0,0,2,0,0,0,59,59,0,0,0,27,18,0,0,41,44,0,3
3,3,0,47,5,7,3,1,25,25,0,0,0,2,0,2,0,2,2,0,7,1,6,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,0,1,0,1,0,1
1.571429,1.571429,5,3,7,1,2,0.708333,72,72,0,0,0,4,0,1,0,7,7,4,14,0.714286,11,11,0.5,0,0,0,0,4,0,0,0,1,0,0,0,0,8,7,1,0,0,0,0,0,3,5,7,1,1
3.047619,2.653846,25,28,57,6,35,0.948571,1058,1079,529,2,5,35,24,0,1,21,26,2,129,0.383333,64,69,0.571429,0,2,0,2,33,2,0,0,0,1,0,0,0,26,26,0,8,4,25,9,0,1,12,20,0,3
1.5,1.5,0,0,0,1,0,0.5,19,19,0,1,0,2,0,0,0,2,2,0,2,1,3,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,3,3,0,2,1,0,0,0,0,2,2,0,1
1.333333,1.333333,0,5,2,3,1,1,24,24,32,0,0,1,0,0,0,3,3,1,52,1,4,4,0.666667,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,2,3,0,1
2,2,0,5,3,3,2,1,35,35,32,0,0,1,0,0,0,4,4,1,53,1,8,8,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,1,4,0,1
1.333333,1.333333,3,9,2,6,2,0,39,39,44,1,0,0,0,0,0,6,6,0,18,0,8,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,3,3,5,0,1
1,1,5,7,3,2,4,0.898148,37,199,10,1,18,9,0,0,0,7,25,0,40,0.243333,7,25,0.28,0,0,0,0,9,0,0,0,1,0,0,0,0,26,26,0,0,0,9,0,0,0,26,7,0,2
3.666667,1.75,0,1,0,1,1,0.857143,79,164,0,1,9,7,0,0,0,3,12,0,13,0.30303,11,21,0.25,0,0,0,0,5,2,2,0,1,0,0,0,0,13,13,0,0,0,7,0,0,0,13,3,0,2
1,1,0,0,0,1,0,0.923077,52,52,0,0,12,6,0,0,1,2,14,0,14,0.090909,2,14,0.142857,0,0,0,0,6,0,0,0,0,2,0,0,0,14,14,0,0,0,6,0,0,0,14,0,0,2
3.833333,3.175325,20,30,80,1,36,0.984425,2378,2792,0,0,46,47,13,4,5,108,154,8,248,0.272109,414,489,0.620438,0,0,0,0,38,9,9,0,0,3,0,0,0,154,153,1,2,2,20,3,17,20,129,105,1,3
1,1,0,1,0,1,0,0.833333,3,21,0,0,6,3,0,0,0,1,7,0,7,0.2,1,7,0.142857,1,0,0,0,3,0,0,0,0,1,0,0,0,7,7,0,0,0,0,0,3,0,7,0,0,2
1,1,0,0,0,1,0,0.666667,2,20,0,0,6,3,0,0,0,1,7,0,7,0.2,1,7,0.142857,1,0,0,0,3,0,0,0,0,1,0,0,0,7,7,0,0,0,0,0,3,0,7,0,0,2
0,1,0,0,0,1,0,0.666667,0,20,0,0,4,2,0,0,0,0,4,0,4,0.333333,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,5,0,2,3,0,0,0,0,2,0,0,2
2,2,0,5,0,3,0,0.5,18,18,30,2,0,4,0,0,0,2,2,4,48,1,4,4,0.333333,0,0,0,0,3,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,1
5.96,5.666667,26,31,39,3,17,0.954094,1014,1032,64,5,2,31,1,24,0,25,27,0,162,0.490476,149,153,0.933333,0,20,1,19,11,19,0,0,0,2,7,4,3,20,19,1,1,3,16,4,14,5,15,23,4,4
56,50.8,181,68,69,3,28,0.844444,2043,2084,79,5,1,70,0,0,0,9,10,4,237,0.277778,504,508,0.583333,0,67,0,67,3,67,0,0,0,1,0,0,0,10,6,4,2,1,64,1,0,0,8,8,4,4
